ADC[mV],Beschleunigung_x[mg],Beschleunigung_y[mg],Beschleunigung_z[mg],Winkelgeschwindigkeit_x[mdeg/s],Winkelgeschwindigkeit_y[mdeg/s],Winkelgeschwindigkeit_z[mdeg/s],Magnetfeld_x[mT],Magnetfeld_y[mT],Magnetfeld_z[mT],Widerstand[A/(Vs)],Zeit[ms]
448,15,1035,91,-7690,1953,-2807,9,66,85,6988,81041
447,7,1037,91,4882,-1342,-2929,9,66,85,6988,81046
447,11,1033,91,6958,1831,-1708,9,67,86,6990,81051
449,13,1037,91,0,610,-1342,9,67,86,6990,81056
447,15,1039,89,-4394,-3417,-2807,9,67,86,6990,81061
447,13,1039,91,-854,2075,-4882,9,67,86,6990,81066
449,13,1031,87,-2685,-3417,1953,9,67,86,6990,81071
447,5,1037,87,-1708,2075,-4394,9,67,86,6990,81076
447,13,1031,87,1220,2563,-4272,9,67,86,6989,81081
448,17,1037,91,-4516,2929,-9643,9,67,86,6989,81086
447,3,1035,91,6347,1220,2807,9,67,86,6989,81091
448,9,1037,91,3540,1586,3662,9,67,86,6989,81096
447,11,1035,91,-854,4882,6591,9,67,86,6989,81101
449,9,1037,91,-2929,-854,-1831,9,67,86,6989,81106
446,15,1039,91,610,11718,-5371,9,67,86,6989,81111
447,13,1041,91,-7568,976,0,8,67,85,6989,81116
447,13,1035,91,-1953,-4028,3784,8,67,85,6989,81121
448,9,1042,89,-2197,0,-2685,8,67,85,6989,81126
447,13,1035,91,-732,1586,3540,8,67,85,6989,81131
447,9,1041,91,5371,1831,6958,8,67,85,6989,81136
448,5,1039,89,976,-1342,976,8,67,85,6989,81141
448,9,1033,89,2075,-2075,5249,8,67,85,6989,81146
447,13,1035,89,-1342,-1464,1464,7,66,85,6987,81151
448,15,1037,89,976,1708,9521,7,66,85,6987,81156
447,13,1033,89,-3540,1953,-976,7,66,85,6987,81161
449,7,1037,89,-2441,1953,3906,7,66,85,6987,81166
447,15,1039,91,-3784,-4150,1464,7,66,85,6987,81171
448,11,1037,91,3173,-1464,2075,7,66,85,6987,81176
447,11,1041,91,-2807,-2319,1098,7,66,85,6987,81181
447,5,1037,91,3173,5737,854,8,66,85,6988,81186
448,7,1041,91,1586,-7080,2075,8,66,85,6988,81191
448,17,1037,89,0,-2929,7324,8,66,85,6988,81196
447,19,1033,91,-5859,366,3051,8,66,85,6988,81201
449,13,1039,89,7812,-3784,3662,8,66,85,6988,81206
446,15,1031,91,-1098,-3295,2075,8,66,85,6988,81211
448,11,1035,91,1586,-6347,-2563,8,66,85,6988,81216
448,3,1035,91,-1708,-1831,-1708,9,67,85,6989,81221
449,11,1039,91,2807,122,5493,9,67,85,6989,81226
