,ambient,coolant,u_d,u_q,motor_speed,torque,i_d,i_q,pm,stator_yoke,stator_tooth,stator_winding
595661,-1.4478733999999998,-0.8002292,-0.54903704,1.4027808000000002,1.1592911,0.13485184,-0.54012436,0.12637919,-2.4739983,-1.5894706,-1.8346316000000003,-1.7916169999999998
595662,-1.4488530000000002,-0.8018665,-0.6349100999999999,1.329887,1.1473918,0.1835981,-0.5880696999999999,0.16946857,-2.461594,-1.5860782,-1.8334161,-1.7877612
595663,-1.4475672,-0.8031713,-0.6891427,1.2854153,1.1447222,0.2130803,-0.62010187,0.19403510000000002,-2.4676554,-1.5831536,-1.8324491000000003,-1.7847127
595664,-1.4457503999999999,-0.80395824,-0.6764588,1.3038895000000001,1.1651492,0.19951802,-0.62002045,0.18136278,-2.4648282999999998,-1.5811788999999998,-1.8318503000000002,-1.7828717
595665,-1.4457715,-0.80431926,-0.59611166,1.3710891,1.1999261,0.15014386,-0.59320354,0.13648885,-2.448807,-1.5799435,-1.8309752000000001,-1.7788494
595666,-1.446453,-0.8045443,-0.44615176,1.4607835,1.2408115,0.07066409,-0.5551020000000001,0.062046587,-2.4517447999999997,-1.5790902,-1.8297988,-1.7733226999999998
595667,-1.4438162,-0.80468684,-0.22413562,1.5392488000000002,1.2894236000000001,-0.03847213,-0.5318661,-0.042023044,-2.454227,-1.5781465000000001,-1.8285328999999997,-1.7697953999999998
595668,-1.4419271999999999,-0.80478895,0.06631251,1.568501,1.3491615,-0.17609084,-0.54911655,-0.17254175,-2.4651452999999997,-1.5778458999999998,-1.8270461999999998,-1.7668613000000002
595669,-1.4407969999999999,-0.80438864,0.33874422,1.5569291,1.4108409,-0.3030723,-0.59271395,-0.29178295,-2.4660685,-1.5773805,-1.82591,-1.7630243000000003
595670,-1.4391528,-0.8034111999999999,0.5356314,1.5488528,1.463782,-0.39465952,-0.629358,-0.37754834,-2.4634259,-1.5771698,-1.8251933999999999,-1.7583069
595671,-1.4365551,-0.80259806,0.61812574,1.5717225000000001,1.4975631,-0.43137473,-0.63484436,-0.41241387,-2.4636195,-1.5767924999999998,-1.8224846999999997,-1.7544012999999998
595672,-1.4369285,-0.80154186,0.55456275,1.6160853000000002,1.4968803999999998,-0.40237316,-0.60632807,-0.38598636,-2.4673498,-1.5762848,-1.8189886000000002,-1.7505959
595673,-1.4391438,-0.80013895,0.48396462,1.6495856,1.4877189,-0.37296690000000005,-0.5781073,-0.3589369,-2.4690962000000005,-1.5759388,-1.8166506999999998,-1.747659
595674,-1.4364648000000002,-0.79881096,0.50710833,1.6683358,1.4996495,-0.38503194,-0.5743017,-0.3708498,-2.465691,-1.5759457000000001,-1.8148534,-1.7454492
595675,-1.433026,-0.79772806,0.61128104,1.6495471999999998,1.5289803,-0.43278638,-0.60414225,-0.41546872,-2.4604733,-1.5757122,-1.8116822,-1.7440712
595676,-1.4339111999999998,-0.7972005999999999,0.7826888000000001,1.5755311,1.5736033999999999,-0.51145744,-0.6753176,-0.48686552,-2.4497497000000004,-1.5753294,-1.8076403000000003,-1.742227
595677,-1.4363945,-0.79683346,0.9642858,1.4673743000000001,1.6240386,-0.5944081999999999,-0.76804096,-0.56100106,-2.4513228,-1.5750233999999999,-1.8044613999999999,-1.7396706000000002
595678,-1.4401625,-0.796608,1.1169832,1.3604388,1.6701125,-0.6644371,-0.85616505,-0.6230735,-2.4531169999999998,-1.5743406,-1.8020504000000002,-1.736991
595679,-1.4428626,-0.79644644,1.2439708,1.2625146999999999,1.7145377,-0.7226331,-0.9367989,-0.67417246,-2.453577,-1.5736636,-1.8001923999999998,-1.7354412000000001
